id,distance,correct,persistent_prediction,persistent_correct,reset_prediction,reset_correct,plain_prediction,plain_correct
1,0,RAVEN 5385,RAVEN 7211,0,RAVEN 7211,0,RAVEN 7211,0
2,0,TANGO 3212,ATLAS 5016,0,ATLAS 5016,0,TANGO 1027,0
3,0,ORION 1108,ORION 1108,1,ORION 1108,1,ORION 1108,1
4,0,LUNAR 8813,RAVEN 5998,0,RAVEN 5998,0,LUNAR 8813,1
5,0,RAVEN 7524,NEBULA 9400,0,NEBULA 9400,0,NEBULA 9400,0
6,0,NEBULA 3973,ATLAS 2353,0,ATLAS 2353,0,NEBULA 3973,1
7,0,ORION 8483,FALCON 2444,0,FALCON 2444,0,FALCON 2444,0
8,0,NOVA 7647,NEBULA 5713,0,NEBULA 5713,0,NEBULA 5713,0
9,0,KAPPA 8926,KAPPA 8282,0,KAPPA 8282,0,KAPPA 8282,0
10,0,DELTA 4165,RAVEN 5200,0,RAVEN 5200,0,RAVEN 5200,0
11,0,KAPPA 6817,ORION 8097,0,ORION 8097,0,ATLAS 2454,0
12,0,RAVEN 6283,RAVEN 6283,1,RAVEN 6283,1,RAVEN 6283,1
13,0,LUNAR 2052,ATLAS 2284,0,ATLAS 2284,0,LUNAR 2052,1
14,0,KAPPA 6016,KAPPA 6016,1,KAPPA 6016,1,KAPPA 6016,1
15,0,NEBULA 3732,FALCON 7328,0,FALCON 7328,0,NEBULA 3732,1
16,0,SIGMA 8368,ATLAS 8391,0,ATLAS 8391,0,EMBER 8028,0
17,0,SIGMA 9194,ATLAS 7045,0,ATLAS 7045,0,ATLAS 7045,0
18,0,NOVA 6276,RAVEN 9200,0,RAVEN 9200,0,RAVEN 9200,0
19,0,EMBER 4783,KAPPA 9809,0,KAPPA 9809,0,EMBER 4783,1
20,0,DELTA 9065,RAVEN 5208,0,RAVEN 5208,0,RAVEN 5208,0
21,0,KAPPA 3066,FALCON 1097,0,FALCON 1097,0,FALCON 1097,0
22,0,SIGMA 7893,NOVA 8357,0,NOVA 8357,0,NOVA 8357,0
23,0,LUNAR 7149,KAPPA 5349,0,KAPPA 5349,0,KAPPA 5349,0
24,0,KAPPA 6279,RAVEN 7235,0,RAVEN 7235,0,RAVEN 7235,0
25,0,NOVA 8297,FALCON 6636,0,FALCON 6636,0,FALCON 6636,0
26,0,TANGO 3020,ATLAS 3160,0,ATLAS 3160,0,NEBULA 9133,0
27,0,DELTA 9878,FALCON 1526,0,FALCON 1526,0,FALCON 1526,0
28,0,ATLAS 1228,ATLAS 1228,1,ATLAS 1228,1,ATLAS 1228,1
29,0,LUNAR 1711,FALCON 1212,0,FALCON 1212,0,FALCON 1212,0
30,0,ATLAS 9703,ATLAS 9703,1,ATLAS 9703,1,ATLAS 9703,1
31,0,FALCON 9928,FALCON 9928,1,FALCON 9928,1,FALCON 9928,1
32,0,RAVEN 8088,RAVEN 8088,1,RAVEN 8088,1,RAVEN 8088,1
33,0,NOVA 1615,NOVA 1615,1,NOVA 1615,1,RAVEN 1179,0
34,0,KAPPA 1490,ATLAS 5774,0,ATLAS 5774,0,ATLAS 8137,0
35,0,EMBER 6321,NOVA 9445,0,NOVA 9445,0,EMBER 6321,1
36,0,KAPPA 8120,LUNAR 2262,0,LUNAR 2262,0,LUNAR 2262,0
37,0,ATLAS 2750,ATLAS 2750,1,ATLAS 2750,1,ATLAS 2750,1
38,0,EMBER 6943,RAVEN 2732,0,RAVEN 2732,0,RAVEN 2732,0
39,0,NEBULA 4374,NEBULA 4374,1,NEBULA 4374,1,NEBULA 4374,1
40,0,SIGMA 1529,LUNAR 4290,0,LUNAR 4290,0,LUNAR 4290,0
41,0,TANGO 2874,TANGO 2874,1,TANGO 2874,1,TANGO 1674,0
42,0,LUNAR 6594,NEBULA 3343,0,NEBULA 3343,0,NEBULA 3343,0
43,0,RAVEN 1949,KAPPA 2058,0,KAPPA 2058,0,EMBER 4841,0
44,0,FALCON 9898,FALCON 9898,1,FALCON 9898,1,FALCON 9898,1
45,0,SIGMA 6135,ATLAS 1053,0,ATLAS 1053,0,ATLAS 1053,0
46,0,FALCON 6335,FALCON 6335,1,FALCON 6335,1,FALCON 6335,1
47,0,ATLAS 6869,ATLAS 6869,1,ATLAS 6869,1,LUNAR 8878,0
48,0,NEBULA 3643,NEBULA 3643,1,NEBULA 3643,1,NEBULA 3643,1
49,0,SIGMA 1930,LUNAR 2519,0,LUNAR 2519,0,EMBER 6917,0
50,0,NEBULA 9764,EMBER 6053,0,EMBER 6053,0,EMBER 6053,0
51,0,FALCON 2653,FALCON 2653,1,FALCON 2653,1,FALCON 2653,1
52,0,NOVA 1070,KAPPA 5369,0,KAPPA 5369,0,LUNAR 3124,0
53,0,EMBER 2063,FALCON 7450,0,FALCON 7450,0,FALCON 7450,0
54,0,FALCON 9968,FALCON 9968,1,FALCON 9968,1,NEBULA 6541,0
55,0,DELTA 1736,NEBULA 1775,0,NEBULA 1775,0,NEBULA 1775,0
56,0,FALCON 4110,FALCON 4110,1,FALCON 4110,1,FALCON 4110,1
57,0,RAVEN 9764,EMBER 1511,0,EMBER 1511,0,EMBER 1511,0
58,0,LUNAR 8741,FALCON 7296,0,FALCON 7296,0,NEBULA 7630,0
59,0,ORION 1712,NEBULA 3227,0,NEBULA 3227,0,NEBULA 3227,0
60,0,ATLAS 5312,ATLAS 5312,1,ATLAS 5312,1,ATLAS 5312,1
61,0,KAPPA 2656,NEBULA 8854,0,NEBULA 8854,0,NEBULA 8854,0
62,0,NEBULA 5656,NEBULA 5656,1,NEBULA 5656,1,NEBULA 5656,1
63,0,DELTA 7102,NOVA 7286,0,LUNAR 3903,0,LUNAR 3903,0
64,0,DELTA 9612,NOVA 9605,0,NOVA 9605,0,NOVA 9605,0
65,0,TANGO 4854,ATLAS 9450,0,ATLAS 9450,0,ATLAS 9450,0
66,0,TANGO 3740,ATLAS 3929,0,NEBULA 7543,0,NEBULA 7543,0
67,0,DELTA 3552,NEBULA 9272,0,NEBULA 9272,0,NEBULA 9272,0
68,0,ATLAS 8739,ATLAS 8739,1,ATLAS 8739,1,LUNAR 2445,0
69,0,RAVEN 2829,NOVA 9982,0,NOVA 9982,0,NOVA 9982,0
70,0,NEBULA 4826,NEBULA 4826,1,NEBULA 4826,1,NEBULA 4826,1
71,0,SIGMA 3048,KAPPA 6091,0,KAPPA 6091,0,KAPPA 6091,0
72,0,ORION 3105,FALCON 8963,0,FALCON 8963,0,FALCON 8963,0
73,0,ORION 4087,ATLAS 7794,0,ATLAS 7794,0,ATLAS 7794,0
74,0,ORION 6883,KAPPA 7153,0,KAPPA 7153,0,EMBER 2468,0
75,0,NOVA 2350,NEBULA 8348,0,NEBULA 8348,0,NEBULA 8348,0
76,0,LUNAR 1844,KAPPA 7432,0,KAPPA 7432,0,LUNAR 1844,1
77,0,SIGMA 4038,KAPPA 6265,0,KAPPA 6265,0,KAPPA 6265,0
78,0,SIGMA 5703,FALCON 8728,0,FALCON 8728,0,FALCON 8728,0
79,0,TANGO 4407,ATLAS 8796,0,ATLAS 8796,0,ATLAS 8796,0
80,0,DELTA 8902,NEBULA 8322,0,NEBULA 8322,0,NEBULA 8322,0
81,0,ORION 7449,FALCON 6277,0,FALCON 6277,0,FALCON 6277,0
82,0,TANGO 7819,FALCON 4851,0,FALCON 4851,0,NEBULA 5468,0
83,0,ATLAS 7836,FALCON 7317,0,FALCON 7317,0,FALCON 7317,0
84,0,TANGO 6640,ATLAS 3102,0,ATLAS 3102,0,ATLAS 3102,0
85,0,FALCON 4801,FALCON 1805,0,FALCON 1805,0,FALCON 1805,0
86,0,RAVEN 3963,FALCON 3642,0,FALCON 3642,0,FALCON 3642,0
87,0,SIGMA 4531,TANGO 2548,0,TANGO 2548,0,TANGO 2548,0
88,0,NEBULA 2671,NEBULA 2671,1,NEBULA 2671,1,NEBULA 2671,1
89,0,ATLAS 7550,EMBER 8097,0,EMBER 8097,0,EMBER 8097,0
90,0,EMBER 8225,NEBULA 4233,0,NEBULA 4233,0,NEBULA 4233,0
91,0,ATLAS 2944,ATLAS 1267,0,ATLAS 1267,0,NEBULA 3903,0
92,0,NOVA 4796,FALCON 8074,0,FALCON 8074,0,FALCON 8074,0
93,0,TANGO 4347,NOVA 1145,0,NOVA 1145,0,NEBULA 2483,0
94,0,TANGO 8617,TANGO 8617,1,TANGO 8617,1,TANGO 8617,1
95,0,TANGO 5342,EMBER 2906,0,EMBER 2906,0,EMBER 2906,0
96,0,SIGMA 3038,ATLAS 5169,0,ATLAS 5169,0,EMBER 9635,0
97,0,NEBULA 6681,NEBULA 6681,1,NEBULA 6681,1,NEBULA 6681,1
98,0,NOVA 8423,NOVA 8017,0,NOVA 8017,0,NOVA 8017,0
99,0,LUNAR 9758,ATLAS 8091,0,ATLAS 8091,0,ATLAS 8091,0
100,0,TANGO 6634,ATLAS 1061,0,ATLAS 1061,0,NEBULA 8639,0
101,1,NOVA 1374,EMBER 3987,0,EMBER 3987,0,EMBER 3987,0
102,1,TANGO 5530,LUNAR 9963,0,LUNAR 9963,0,LUNAR 9963,0
103,1,TANGO 2229,NEBULA 5950,0,NEBULA 5950,0,NEBULA 5950,0
104,1,DELTA 9904,FALCON 1659,0,FALCON 1659,0,FALCON 1659,0
105,1,NOVA 2686,TANGO 4162,0,RAVEN 7118,0,RAVEN 7118,0
106,1,ORION 9364,NEBULA 9135,0,NEBULA 9135,0,NEBULA 9135,0
107,1,SIGMA 7427,NEBULA 4257,0,NEBULA 4257,0,NEBULA 4257,0
