id,distance,correct,persistent_prediction,persistent_correct,reset_prediction,reset_correct,plain_prediction,plain_correct
1,1,NEBULA 2824,NEBULA 2824,1,NEBULA 2824,1,NEBULA 2824,1
2,1,RAVEN 1488,FALCON 1434,0,FALCON 1434,0,FALCON 1434,0
3,1,NOVA 8359,FALCON 5557,0,FALCON 5557,0,FALCON 5557,0
4,1,NOVA 6514,LUNAR 2584,0,LUNAR 2584,0,LUNAR 2584,0
5,1,KAPPA 3045,NEBULA 6925,0,NEBULA 6925,0,NEBULA 6925,0
6,1,RAVEN 4733,EMBER 2307,0,EMBER 2307,0,EMBER 2307,0
7,1,TANGO 7065,NEBULA 5374,0,NEBULA 5374,0,NEBULA 5374,0
8,1,TANGO 8573,NEBULA 6313,0,NEBULA 6313,0,NEBULA 4598,0
9,1,SIGMA 7572,EMBER 2084,0,EMBER 2084,0,EMBER 2084,0
10,1,TANGO 5339,ATLAS 9830,0,ATLAS 9830,0,ATLAS 9830,0
11,1,TANGO 9348,RAVEN 2796,0,RAVEN 2796,0,RAVEN 2796,0
12,1,LUNAR 7252,FALCON 8668,0,FALCON 8668,0,KAPPA 1188,0
13,1,NEBULA 6573,NEBULA 6573,1,NEBULA 6573,1,NEBULA 6573,1
14,1,KAPPA 2743,FALCON 4258,0,FALCON 4258,0,FALCON 4258,0
15,1,KAPPA 9689,RAVEN 6310,0,RAVEN 6310,0,RAVEN 6310,0
16,1,NOVA 2290,ORION 8962,0,ORION 8962,0,TANGO 3103,0
17,1,EMBER 9645,FALCON 7932,0,FALCON 7932,0,FALCON 7932,0
18,1,DELTA 9479,NOVA 4681,0,NOVA 4681,0,NOVA 4681,0
19,1,FALCON 4608,FALCON 4608,1,FALCON 4608,1,FALCON 4608,1
20,1,KAPPA 4899,KAPPA 4899,1,KAPPA 4899,1,KAPPA 4899,1
21,1,NOVA 2545,ORION 8062,0,ORION 8062,0,ORION 8062,0
22,1,RAVEN 7596,ATLAS 6559,0,ATLAS 6559,0,ATLAS 6559,0
23,1,TANGO 5563,KAPPA 2604,0,KAPPA 2604,0,KAPPA 2604,0
24,1,ORION 4872,TANGO 7658,0,TANGO 7658,0,TANGO 7658,0
25,1,RAVEN 7396,ATLAS 8973,0,ATLAS 8973,0,ATLAS 8973,0
26,1,NOVA 1958,FALCON 9883,0,FALCON 9883,0,RAVEN 1821,0
27,1,RAVEN 9320,NEBULA 4853,0,NEBULA 4853,0,NEBULA 4853,0
28,1,FALCON 1651,FALCON 1651,1,FALCON 1651,1,FALCON 1651,1
29,1,NOVA 5351,NEBULA 5915,0,NEBULA 5915,0,NEBULA 5915,0
30,1,FALCON 2638,FALCON 2638,1,FALCON 2638,1,FALCON 2638,1
31,1,SIGMA 5669,FALCON 9666,0,FALCON 9666,0,FALCON 9666,0
32,1,NEBULA 2697,NEBULA 2697,1,NEBULA 2697,1,NEBULA 2697,1
33,1,ATLAS 6617,EMBER 1832,0,EMBER 1832,0,EMBER 1832,0
34,1,EMBER 1722,RAVEN 6464,0,RAVEN 6464,0,RAVEN 6464,0
35,1,ORION 2232,ATLAS 3442,0,ATLAS 3442,0,KAPPA 1590,0
36,1,EMBER 6974,RAVEN 6862,0,RAVEN 6862,0,RAVEN 6862,0
37,1,FALCON 3532,FALCON 3532,1,FALCON 3532,1,FALCON 3532,1
38,1,EMBER 3608,LUNAR 1634,0,LUNAR 1634,0,LUNAR 1634,0
39,1,EMBER 4728,NEBULA 4164,0,NEBULA 4164,0,NEBULA 4164,0
40,1,SIGMA 9346,LUNAR 9785,0,LUNAR 9785,0,LUNAR 9785,0
41,1,RAVEN 2776,FALCON 8119,0,FALCON 8119,0,FALCON 8119,0
42,1,EMBER 1727,EMBER 1727,1,EMBER 1727,1,EMBER 1727,1
43,1,NEBULA 6409,NEBULA 3041,0,NEBULA 3041,0,NEBULA 3041,0
44,1,SIGMA 7592,ATLAS 5844,0,ATLAS 5844,0,ATLAS 5844,0
45,1,FALCON 5930,FALCON 5930,1,FALCON 5930,1,FALCON 5930,1
46,1,DELTA 8238,ATLAS 3780,0,ATLAS 3780,0,ATLAS 3780,0
47,1,ORION 4848,NEBULA 6085,0,NEBULA 6085,0,NEBULA 6085,0
48,1,FALCON 2193,FALCON 2193,1,FALCON 2193,1,FALCON 2193,1
49,1,TANGO 1090,ATLAS 9486,0,ATLAS 9486,0,ATLAS 9486,0
